species,WD,,,,,,,,,,,,,,,
Abrophyllum ornans,0.602,,,,,,,,,,,,,,,
Acacia boormanii,NA,,,,,,,,,,,,,,,
Acacia dealbata subsp. dealbata,0.476,,,,,,,,,,,,,,,
Acacia falciformis,0.724,,,,,,,,,,,,,,,
Acacia fimbriata,NA,,,,,,,,,,,,,,,
Acacia floribunda,0.681,,,,,,,,,,,,,,,
Acacia implexa,0.639,,,,,,,,,,,,,,,
Acacia irrorata subsp. irrorata,0.42,,,,,,,,,,,,,,,
Acacia leiocalyx subsp. leiocalyx,0.569,,,,,,,,,,,,,,,
Acacia maidenii,0.62,,,,,,,,,,,,,,,
Acacia mearnsii,0.652,,,,,,,,,,,,,,,
Acacia melanoxylon,0.477,,,,,,,,,,,,,,,
Acacia pravissima,NA,,,,,,,,,,,,,,,
Acaena novae-zelandiae,NA,,,,,,,,,,,,,,,
Acetosella vulgaris,NA,,,,,,,,,,,,,,,
Acmena smithii,0.715,,,,,,,,,,,,,,,
Acronychia oblongifolia,0.81,,,,,,,,,,,,,,,
Alectryon subcinereus,0.74,,,,,,,,,,,,,,,
Alphitonia excelsa,0.725,,,,,,,,,,,,,,,
Anagallis arvensis,NA,,,,,,,,,,,,,,,
Angophora subvelutina,0.658,,,,,,,,,,,,,,,
Aristida ramosa,NA,,,,,,,,,,,,,,,
Astroloma humifusum,0.76,,,,,,,,,,,,,,,
Backhousia myrtifolia,0.82,,,,,,,,,,,,,,,
Banksia integrifolia subsp. monticola,0.482,,,,,,,,,,,,,,,
Bedfordia arborescens,0.65,,,,,,,,,,,,,,,
Beyeria viscosa,NA,,,,,,,,,,,,,,,
Bidens pilosa,NA,,,,,,,,,,,,,,,
Bidens subalternans,NA,,,,,,,,,,,,,,,
Bothriochloa macra,NA,,,,,,,,,,,,,,,
Breynia oblongifolia,NA,,,,,,,,,,,,,,,
Bromus catharticus,NA,,,,,,,,,,,,,,,
Bursaria spinosa subsp. lasiophylla,0.65,,,,,,,,,,,,,,,
Bursaria spinosa subsp. spinosa,0.65,,,,,,,,,,,,,,,
Callistemon subulatus,0.683,,,,,,,,,,,,,,,
Carduus tenuiflorus,NA,,,,,,,,,,,,,,,
Carex appressa,NA,,,,,,,,,,,,,,,
Carex inversa,NA,,,,,,,,,,,,,,,
Carex longebrachiata,NA,,,,,,,,,,,,,,,
Carex polyantha,NA,,,,,,,,,,,,,,,
Cassinia aculeata,NA,,,,,,,,,,,,,,,
Cassinia longifolia,NA,,,,,,,,,,,,,,,
Cassinia trinerva,0.52,,,,,,,,,,,,,,,
Casuarina cunninghamiana,0.612,,,,,,,,,,,,,,,
Casuarina glauca,0.601,,,,,,,,,,,,,,,
Centaurium erythraea,NA,,,,,,,,,,,,,,,
Centaurium tenuiflorum,NA,,,,,,,,,,,,,,,
Centella asiatica,NA,,,,,,,,,,,,,,,
Ceratopetalum apetalum,0.5,,,,,,,,,,,,,,,
Cirsium vulgare,NA,,,,,,,,,,,,,,,
Commelina cyanea,NA,,,,,,,,,,,,,,,
Commersonia fraseri,0.372,,,,,,,,,,,,,,,
Conyza bonariensis,NA,,,,,,,,,,,,,,,
Conyza parva,NA,,,,,,,,,,,,,,,
Conyza sumatrensis,NA,,,,,,,,,,,,,,,
Coprosma hirtella,NA,,,,,,,,,,,,,,,
