plotID,species
1,Abrophyllum ornans
1,Acacia floribunda
1,Acacia implexa
1,Acacia irrorata
1,Acmena smithii
1,Adiantum aethiopicum
1,Adiantum hispidulum
1,Alectryon subcinereus
1,Carex longebrachiata
1,Casuarina cunninghamiana subsp. Cunninghamiana
1,Ceratopetalum apetalum
1,Commelina cyanea
1,Conyza bonariensis
1,Cryptocarya glaucescens
1,Cryptocarya microneura
1,Dichondra repens
1,Doodia aspera
1,Doodia caudata
1,Doryphora sassafras
1,Eustrephus latifolius
1,Fern (Mammy Johnsons 35)
1,Ficus coronata
1,Geitonoplesium cymosum
1,Glycine microphylla
1,Guioa semiglauca
1,Gymnostachys anceps
1,Lastreopsis decomposita
1,Leptospermum polygalifolium
1,Lomandra longifolia
1,Lomatia myricoides
1,Microlaena stipoides
1,Morinda jasminoides
1,Neolitsea dealbata
1,Notelaea longifolia
1,Oplismenus aemulus
1,Oplismenus imbecillis
1,Pandorea pandorana
1,Pellaea nana
1,Phyllanthus gunnii
1,Pimelea axiflora
1,Pittosporum revolutum
1,Pittosporum spinescens
1,Smilax australis
1,Tristaniopsis laurina
1,Veronica sp. (Mammy Johnsons)
1,Waterhousea floribunda
2,Adiantum aethiopicum
2,Blechnum nudum
2,Blechnum patersonii
2,Carex polyantha
2,Clematis aristata
2,Climber 2 (Wallagaraugh 14)
2,Coprosma quadrifida
2,Dianella caerulea
2,Dichondra repens
2,Doodia aspera
2,Doodia caudata
2,Herb 1 (Wallagaraugh 10)
2,Lomandra longifolia
2,Myrsine variabilis
2,Notelaea longifolia
2,Notelaea venosa
2,Oplismenus aemulus
2,Oplismenus aemulus
2,Oplismenus imbecillis
2,Pittosporum revolutum
2,Smilax australis
2,Solanum pungetium
2,Subshrub 1 (Wallagaraugh 17)
2,Symplocos thwaitesii
2,Tristaniopsis laurina
2,Tylophora barbata
2,Veronica notabilis
3,Acacia mearnsii
3,Acacia melanoxylon
3,Acaena novae-zelandiae
3, Adiantum aethiopicum
3,Anagallis arvensis
3,Blechnum nudum
3,Bursaria spinosa subsp. lasiophylla
3,Calochlaena dubia
3,Carex longebrachiata
3,Cassinia aculeata
3,Cassinia uncata
3,Centaurium tenuiflorum
3,Cirsium vulgare
3,Clematis aristata
3,Conyza bonariensis
3,Conyza sumatrensis
