"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.0247061091130715,0.33148,0.0250857698067138,0.39217
"2","RaoQ",2.5675458678395e-11,0.97036,6.32544868828482e-11,0.97457
"3","FRic",0.00452869396008408,0.47419,0.00474832575141374,0.5237
"4","FDiv",0.000182196772639984,0.67226,0.000290028829219857,0.68223
"5","FDis",2.26033925183518e-211,1,1.88620184462633e-195,1
"6","C_MinM",0.0278318019954555,0.32042,0.0190346489730725,0.47558
"7","CVAnnMRateFall",0.043531792772397,0.27773,0.0518916410464453,0.28438
"8","CVAnnMRateRise",0.0328946618313562,0.30467,0.0402628834138507,0.30833
"9","CVAnnHSPeak",0.00676884331066521,0.44293,0.00758805629959751,0.48196
"10","CVAnnHSNum",0.0160829248966289,0.37025,0.0207223422672655,0.37292
"11","CVMDFJune",0.0274904679861918,0.32157,0.0316718922117064,0.34707
"12","CVMDFMay",0.0111776843014201,0.4017,0.00863667723656214,0.50904
"13","MDFMDFJanuary",0.04046754413237,0.28482,0.0464111111683589,0.30672
