"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.00310633263662459,0.5021,0.00267587493026673,0.57589
"2","nbsp",0.00334008447219976,0.49683,0.00433112058759772,0.51506
"3","RaoQ",0.00482066723023554,0.46943,0.00638832457713457,0.48145
"4","FEve",0.0246740590102958,0.3316,0.0298801629542542,0.34399
"5","FRic",4.11788154087898e-210,1,2.66503309599921e-196,1
"6","FDis",0.00452869396008408,0.47419,0.00637063361525936,0.47667
"7","MDFMDFNovember",0.00915138074092204,0.41844,0.0121822376817994,0.42235
"8","MDFMDFJuly",0.00669667940227638,0.44379,0.00920938134563455,0.44544
"9","MDFMDFMay",0.0161623434242004,0.36981,0.0141726722650352,0.46005
"10","MDFMDFJanuary",0.0111583598677246,0.40185,0.0128268329182292,0.43466
