"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","leafLength.CWM",5.65197880867579e-204,1,2.16892642453385e-188,1
"2","M_MinM",0.00227139186611924,0.52426,0.00197895516494699,0.59381
"3","M_MDFM",0.000920321144949272,0.58326,0.0014596033490918,0.58462
"4","C_MDFM",0.00685602398240772,0.44191,0.00666813887423553,0.50493
"5","CVAnnBFI",0.000112095953233636,0.69521,0.000202981564390681,0.69781
"6","BFI",0.000238318714295501,0.65887,0.000374122920176681,0.66893
"7","CVAnnMRateFall",0.00372331723255482,0.48886,0.00394900067382681,0.53622
"8","CVAnnMRateRise",0.0253910866089321,0.32895,0.0319845707151087,0.32911
"9","LSPeak",0.00297830852308933,0.50513,0.00227383016091314,0.59291
"10","MDFAnnHSNum",0.0469286126541489,0.2704,0.0563344029769935,0.27254
"11","HSPeak",0.00166909183055426,0.54519,0.00208120898450058,0.57154
"12","CVMDFDecember",0.000377795514744691,0.63468,0.000526426958962941,0.65322
"13","CVMDFNovember",0.00468399903659229,0.47163,0.0029147718664249,0.59153
"14","CVMDFOctober",0.00151741432314225,0.55149,0.00233672091092533,0.55206
"15","CVMDFSeptember",0.00487304016625445,0.46861,0.00602141371103735,0.49225
"16","CVMDFJuly",0.000873495659100504,0.58645,0.00124346545191671,0.60005
"17","CVMDFJune",0.0353683977951878,0.29777,0.0363964173016379,0.35559
"18","CVMDFMay",0.00155181066307069,0.55002,0.00196505089664169,0.5747
"19","CVMDFApril",0.0131847998525354,0.38758,0.0157139705029857,0.41148
"20","CVMDFJanuary",0.00772250317351588,0.43234,0.00728564054700131,0.5012
"21","MDFMDFOctober",0.0036278733212509,0.49077,0.00444571077519551,0.51708
"22","MDFMDFSeptember",0.00135918388091989,0.55868,0.0021171475245988,0.55881
"23","MDFMDFAugust",0.000230728150268097,0.66052,0.000352490035571076,0.67285
"24","MDFMDFMay",0.00293461025400835,0.50619,0.00364865492380357,0.5312
"25","MDFMDFApril",0.00343830853038161,0.49471,0.0043787613251978,0.51549
"26","MDFMDFMarch",0.0273266729875591,0.32213,0.0175613505687681,0.48933
"27","MDFMDFFebruary",0.0147532473029862,0.37782,0.0191065496533722,0.38069
"28","MDFAnnUnder0.1",0.0247256533345371,0.33141,0.0219355077977857,0.42548
"29","CV",0.000439074049677889,0.62644,0.000712054508413011,0.63069
"30","MDF",0.00488430160804057,0.46843,0.00567150920581647,0.50217
