"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","leafratio.CWM",0.0199334177120335,0.35108,0.0244377720900383,0.36332
"2","flowering.period.CWM",0.0201526917904553,0.3501,0.0254267859384139,0.35434
"3","maxheight.CWM",0.0105727102696339,0.4064,0.0136509491369508,0.41491
"4","RaoQ",6.79547755853077e-11,0.96558,3.82225642838287e-13,0.98935
"5","FRic",0.00264291585481425,0.51365,0.00382070863554565,0.51759
"6","FDiv",0.0119093912041181,0.39631,0.0158031598046499,0.39692
"7","FDis",5.81237510322718e-203,1,1.16210430087016e-187,1
"8","CVMDFWinter",0.0216805934642017,0.34346,0.0258872567246845,0.3617
"9","MDFMDFSummer",0.00715998947668184,0.43844,0.00912682056899554,0.45383
"10","MDFMDFSpring",0.0308972770652817,0.3106,0.0369077636754946,0.3234
"11","P_MaxM",0.00921935443606697,0.41783,0.00334840240388102,0.62291
"12","CVAnnMRateRise",0.0232113644013473,0.33723,0.0293355165066742,0.33827
"13","CVAnnHSPeak",0.00277632694007137,0.51015,0.0039917285837742,0.51442
"14","CVAnnHSNum",0.0318809368480315,0.30764,0.0374281303874664,0.32543
