"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",6.86658746549892e-207,1,1.35503394382524e-193,1
"2","maxheight.CWM",0.00358206521245376,0.49171,0.00258367129235015,0.58888
"3","SLA.CWM",0.0309886457029654,0.31032,0.0284886975995749,0.39886
"4","nbsp",0.0439047037700793,0.2769,0.0526410870562308,0.28118
"5","RaoQ",0.0250106133190169,0.33035,0.031122955465934,0.33449
"6","FEve",0.0117057100477229,0.39778,0.0133042841232798,0.43276
"7","FRic",0.00320642528966344,0.4998,0.0046272389693765,0.50202
"8","FDis",0.0201526917904553,0.3501,0.0234101461462335,0.37647
"9","CVAnnHSPeak",0.0235180284349675,0.33602,0.0160954958918288,0.48505
"10","plotID",0.0493985787591521,0.26536,0.059107417656149,0.26743
