"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","leafLength.CWM",1.60770646312864e-208,1,1.04158129581722e-192,1
"2","CVMDFWinter",0.0196350523861208,0.35245,0.0125485043175756,0.50815
"3","CVMDFAutumn",0.00353101589523889,0.49276,0.00509029216768929,0.49408
"4","CVMDFSummer",0.0183198190276767,0.35867,0.0193980485043337,0.40851
"5","CVMDFSpring",0.00762490553602647,0.43337,0.00872106521208605,0.46857
"6","MDFMDFAutumn",0.00357839584811684,0.49178,0.00395524260707142,0.53322
"7","MDFMDFSpring",0.00427614638735989,0.47853,0.00608599673575921,0.47971
"8","M_MaxM",0.00206516520667345,0.53082,0.00152658594644772,0.61731
"9","M_MinM",0.000836455555128278,0.58909,0.00133309020568093,0.59066
"10","C_MinM",0.00592777846945165,0.45342,0.00616834429200265,0.50484
"11","P_MinM",0.00143658582249543,0.55508,0.0020100237578176,0.56804
"12","M_MDFM",0.00086921120055022,0.58675,0.00139071214708866,0.58759
"13","C_MDFM",0.00714783287078987,0.43857,0.00664902244326552,0.50913
"14","P_MDFM",0.00203427374489863,0.53185,0.00248840233626913,0.56012
"15","AS20YrARI",0.00300141335885983,0.50458,0.0035670070925487,0.53588
"16","CVAnnBFI",0.000115847064795488,0.69371,0.000210445672787351,0.69592
"17","BFI",0.000239691260810364,0.65858,0.000378775601400602,0.66809
"18","CVAnnMRateFall",0.00368814294229527,0.48956,0.00389999572969606,0.53733
"19","CVAnnMRateRise",0.0248663644661973,0.33088,0.031368454999191,0.33105
"20","MRateFall",0.00211390135750959,0.52922,0.00145863136079596,0.62318
"21","MRateRise",0.00133218256021486,0.55997,0.000855433404674099,0.65395
"22","LSPeak",0.00294011516475249,0.50606,0.00225143519872769,0.59331
"23","HSPeak",0.0019488694383963,0.53477,0.00232085072845424,0.56649
