"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","richness",0.000590068307598602,0.60973,0.000157013416353165,0.75019,0.00535086527492187,0.00141312074717849
"2","flowering.period.CWM",0.00456526441229459,0.47358,0.00649407158646944,0.47405,0.0234785026918007,0.0292233221391125
"3","maxheight.CWM",0.0106237827834208,0.40599,0.0133558864123494,0.42022,0.0347687436548318,0.0437101737131435
"4","FunRao",0.000628986312221799,0.60602,0.000701399397201635,0.6441,0.00535086527492187,0.00505007565985177
"5","simpson",0.0286007253091409,0.31787,0.0264536122545794,0.40375,0.0735447222235051,0.0680235743689183
"6","nbsp",0.000891810879153645,0.58519,0.000992072234506801,0.62412,0.00535086527492187,0.00595243340704081
"7","RaoQ",0.00998151954499815,0.41122,0.0110414466743195,0.45215,0.0347687436548318,0.0436588416011595
"8","FRic",9.09724887334402e-231,1,2.08656233713139e-213,1,3.27500959440385e-229,7.51162441367302e-212
"9","FDis",0.00901189355129723,0.41971,0.0121274560003221,0.42155,0.0347687436548318,0.0436588416011595
"10","MDFMDFWinter",0.000841994599196114,0.58869,3.37755969397811e-05,0.8278,0.00535086527492187,0.000405307163277374
"11","MDFMDFAutumn",0.0240971598799333,0.33378,0.0243001200295294,0.39614,0.0667305965905846,0.0672926400817737
"12","MDFMDFSummer",5.36714331663655e-05,0.72708,2.78253264037069e-07,0.91672,0.000966085796994578,5.00855875266725e-06
"13","MDFMDFSpring",0.0104042724737196,0.40775,0.00358758024339254,0.62429,0.0347687436548318,0.0184504126803045
"14","CVAnnHSPeak",0.0127236008988564,0.39065,0.0158423284637483,0.40497,0.0381708026965692,0.0475269853912448
