"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","richness",0.000495092776934773,0.61973,0.000316279886930722,0.70094,0.00445583499241296,0.0028465189823765
"2","leafratio.CWM",0.0270495896765797,0.32308,0.0338917451993689,0.32351,0.0695560877397765,0.0813401884784854
"3","flowering.period.CWM",0.0126887654049624,0.39089,0.0155806870161216,0.4084,0.0456795554578645,0.0509913393254887
"4","maxheight.CWM",0.00911958363995932,0.41873,0.0114729466969221,0.43441,0.0403767532645663,0.0413026081089194
"5","FunRao",8.47439733978861e-208,1,5.92330986439956e-192,1,3.0507830423239e-206,2.13239155118384e-190
"6","simpson",0.0269493013886173,0.32342,0.0271928107874867,0.38607,0.0695560877397765,0.0772267043379795
"7","nbsp",0.0419891827860197,0.28124,0.0509206527279138,0.28239,0.0889182694292181,0.107831970482641
"8","RaoQ",2.07147006597062e-06,0.83312,2.2906814800363e-06,0.85811,2.48576407916474e-05,4.12322666406533e-05
"9","FRic",0.000628986312221798,0.60602,0.00064850433172969,0.65111,0.00452870144799695,0.00466923118845377
"10","FDis",1.79667300207633e-06,0.83669,4.60065086769618e-06,0.83679,2.48576407916474e-05,5.52078104123542e-05
"11","CVMDFWinter",0.0260036182244969,0.32674,0.0319444939747187,0.33399,0.0695560877397765,0.0813401884784854
"12","MDFMDFSummer",0.00258614882626675,0.51518,0.00247184368615594,0.57473,0.0155168929576005,0.0148310621169356
"13","MDFMDFSpring",0.0100941883161416,0.41028,0.0101644536286842,0.46927,0.0403767532645663,0.0413026081089194
"14","P_MaxM",0.0301036754597545,0.31306,0.0108153690943799,0.58601,0.0722488211034108,0.0413026081089194
"15","AS20YrARI",0.049540929002668,0.26508,0.0583421655842759,0.27334,0.099081858005336,0.116684331168552
"16","CVAnnMRateRise",0.0218961800858567,0.34256,0.0278874210109371,0.34257,0.0695560877397765,0.0772267043379795
"17","CVAnnHSPeak",0.00666805955642891,0.44413,0.00894500874741512,0.45059,0.0342928777187772,0.0413026081089194
"18","CVAnnHSNum",0.0346298834475379,0.29978,0.0424471291605732,0.3018,0.0779172377569603,0.0955060406112898
