"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","richness",0.00137511336567408,0.55792,0.00212243613283941,0.5591,0.0247520405821334,0.0382038503911094
"2","flowering.period.CWM",2.67231543613034e-214,1,6.60780956681205e-198,1,9.62033557006921e-213,2.37881144405234e-196
"3","maxheight.CWM",0.013479192764383,0.38568,0.00771096825246331,0.54647,0.0970501879035577,0.0693987142721698
"4","SLA.CWM",0.0292789271047106,0.31567,0.027445610138714,0.39838,0.150577339395654,0.141148852141958
"5","FunRao",0.0126887654049624,0.39089,0.0158129521435377,0.40504,0.0970501879035577,0.096572975350973
"6","simpson",0.0390871767404154,0.28817,0.0461965141089423,0.30018,0.175892295331869,0.20788431349024
"7","RaoQ",0.0456959439792387,0.273,0.0545705694308843,0.27781,0.177834883532948,0.212786703562137
"8","FRic",0.00456526441229459,0.47358,0.00437315523083151,0.53637,0.0547831729475351,0.0524778627699781
"9","CVAnnHSPeak",0.0235180284349675,0.33602,0.0160954958918288,0.48505,0.141108170609805,0.096572975350973
"10","plotID",0.0493985787591521,0.26536,0.059107417656149,0.26743,0.177834883532948,0.212786703562137
