"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","redun",0,1,0,1,0,0
"2","RaoQ",0.00285063577266063,0.50827,0.0037705277977882,0.52456,0.0256557219539456,0.0360289433752363
"3","FDiv",0.0178481365710167,0.361,0.0151243759832863,0.45979,0.0713925462840668,0.0680596919247884
"4","FDis",0.00150579765650833,0.552,0.00230831614382972,0.55322,0.0256557219539456,0.0360289433752363
"5","CVMDFWinter",0.0177715612290744,0.36139,0.0225806588188013,0.36596,0.0713925462840668,0.0876946988359583
"6","CVMDFAutumn",0.0242573535337977,0.33317,0.024359638565544,0.39662,0.079387702474247,0.0876946988359583
"7","CVMDFSpring",0.0126876943783658,0.39089,0.0136830908269849,0.43673,0.0652509996601668,0.0680596919247884
"8","M_MaxM",0.0432320012773973,0.27841,0.052481396698766,0.27842,0.0972720028741439,0.118083142572223
"9","C_MaxM",0.0400532728686421,0.28581,0.0456923258773535,0.3097,0.0961278548847411,0.109661582105648
"10","P_MaxM",0.00277881623380151,0.51009,0.00400321593058181,0.51405,0.0256557219539456,0.0360289433752363
"11","M_MDFM",0.0311017824840712,0.30998,0.0367191974494552,0.32638,0.0861280130328126,0.101683931398491
"12","AS20YrARI",0.0223682389116064,0.34061,0.0284343063888192,0.34074,0.079387702474247,0.0930577299997718
"13","CVAnnMRateFall",0.0113107430094793,0.4007,0.0145480304348415,0.40916,0.0652509996601668,0.0680596919247884
"14","CVAnnMRateRise",0.0358362347104378,0.29651,0.0440730218579838,0.29657,0.0921503178268401,0.109661582105648
"15","CVAnnHSPeak",0.00922570739037596,0.41777,0.00911155968533869,0.47988,0.0652509996601668,0.0656032297344386
"16","HSPeak",0.0268625394278082,0.32372,0.031830556269296,0.34121,0.0805876182834245,0.0954916688078879
