"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","richness",1.59494510804912e-206,1,3.00032652923084e-192,1,5.74180238897683e-205,1.0801175505231e-190
"2","flowering.period.CWM",0.00137511336567408,0.55792,0.000529270658915929,0.69475,0.00825068019404448,0.00402300313557624
"3","FunRao",0.000495092776934775,0.61973,0.000830471013128224,0.61994,0.00424849181470995,0.00498282607876934
"4","simpson",0.000325350829653044,0.6427,0.0005587504354967,0.64359,0.00424849181470995,0.00402300313557624
"5","nbsp",0.00054345923236023,0.61445,0.000475748995993451,0.67258,0.00424849181470995,0.00402300313557624
"6","RaoQ",0.0192371573309517,0.35429,0.0238393299502599,0.36418,0.0865672079892826,0.10727698477617
"7","FEve",0.0302595728352938,0.31257,0.0358511885189823,0.3283,0.114174928956191,0.129064278668336
"8","FRic",0.000590068307598604,0.60973,0.000163416338126906,0.7479,0.00424849181470995,0.0029414940862843
"9","FDis",0.0317152580433863,0.30813,0.0352797185786922,0.34275,0.114174928956191,0.129064278668336
"10","MDFMDFSummer",0.0135006289250638,0.38554,0.0120189475129722,0.47038,0.069431805900328,0.061811730066714
