"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","maxheight.CWM",0.0178973314550392,0.36076,0.0618387534148482,0.37116,0.0462347729255178,0.127800090390686
"value19","redun",0.00176123209412521,0.5416,0.00268379319842792,0.62722,0.0109196389835763,0.0207993972878164
"value18","FunRao",2.4261611830458e-06,0.82907,2.03652338282e-05,0.83475,2.50703322248067e-05,0.000210440749558067
"value17","RaoQ",2.44631981773708e-11,0.97058,9.96659390461604e-13,0.99001,3.79179571749248e-10,1.54482205521549e-11
"value16","FRic",0.0252402050361478,0.3295,0.0474428693779817,0.39833,0.0473556418346528,0.122069429629431
"value15","FDiv",0.0355547489057863,0.29726,0.115766672577056,0.30188,0.0558028941738132,0.179438342494437
"value14","FDis",9.43210052524225e-205,1,6.21075112392927e-189,1,2.9239511628251e-203,1.92533284841807e-187
"value13","CVMDFWinter",0.00962512688648449,0.41425,0.0389409370671076,0.41781,0.0415204558861688,0.122069429629431
"value12","CVMDFAutumn",0.0342252016288355,0.3009,0.10376740188538,0.3145,0.0558028941738132,0.178710525469266
"value11","CVMDFSpring",0.0259692229415838,0.32687,0.0833593206272785,0.33906,0.0473556418346528,0.161508683715352
"value10","MDFMDFSummer",0.00306067946505253,0.50317,0.0150194439407121,0.50328,0.0158135105694381,0.0665146803088677
"value9","MDFMDFSpring",0.0133936954471512,0.38623,0.0511904059736323,0.39065,0.0415204558861688,0.122069429629431
"value8","M_MaxM",0.0258047791351474,0.32746,0.0898394477521494,0.33077,0.0473556418346528,0.163824875312743
"value7","M_MinM",0.023974234676895,0.33425,0.00942070119032466,0.54043,0.0473556418346528,0.0486736228166774
"value6","M_MDFM",0.0208573617820275,0.34698,0.0413397497762076,0.41198,0.0473556418346528,0.122069429629431
"value5","AS20YrARI",0.0148332464538418,0.37735,0.0582548507378173,0.37738,0.041802785460827,0.127800090390686
"value4","CVAnnMRateFall",0.0128750044706104,0.38963,0.0483061513705973,0.39651,0.0415204558861688,0.122069429629431
"value3","CVAnnMRateRise",0.0109891534996652,0.40314,0.0449052495529532,0.40381,0.0415204558861688,0.122069429629431
"value2","CVAnnHSPeak",0.00101430262799105,0.57725,0.00447175530252064,0.59411,0.00786084536693066,0.027724882875628
"value1","CVAnnHSNum",0.0360018672089117,0.29607,0.112927141396366,0.30476,0.0558028941738132,0.179438342494437
