"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","FGR",0.0522803618508074,0.25978,0.0591239124465599,0.28274
"2","RaoQ",0.0205217697273255,0.34845,0.0259073647987667,0.35221
"3","FDiv",6.79226133248193e-207,1,3.49202620947909e-191,1
"4","FDis",0.0258055978665814,0.32745,0.0323674781107319,0.32857
"5","VarAnnHSPeak",0.0346171349953392,0.29982,0.0426821218006594,0.29983
"6","CVAnnHSPeak",0.0150659669406248,0.37599,0.0148963428518269,0.44061
"7","CVMDFJune",0.0580878588140845,0.24933,0.0674317922504939,0.25961
"8","CVMDFMay",0.0537375649608647,0.25706,0.0601141907604046,0.28382
"9","MDFMDFAugust",0.0496799859134593,0.2648,0.0553883051893856,0.29396
"10","CVAnnUnder0.1",0.0450811602901628,0.27432,0.0544669961690488,0.27504
