"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.0290858821161586,0.31629,0.0253809071572199,0.41714
"2","nbsp",5.76685860818398e-05,0.72412,5.84907842931061e-05,0.7618
"3","FGR",3.67720071016351e-211,1,1.89536648170578e-199,1
"4","FEve",0.0154492689902385,0.37378,0.0070781222520979,0.57289
"5","FRic",0.00422229466984968,0.47948,0.00477284777260871,0.51761
"6","MDFMDFNovember",0.000602272998888317,0.60854,0.000981093513270794,0.61026
"7","MDFMDFJuly",0.0249055775046271,0.33074,0.0216560137195233,0.42966
"8","MDFMDFFebruary",0.0128138221563377,0.39004,0.00893451573364125,0.51769
"9","MDFMDFJanuary",0.00517426533222428,0.464,0.00281862260728337,0.60207
"10","MDFAnnUnder0.1",0.0351231370138293,0.29843,0.0420772865264606,0.3079
"11","MDFAnnZer",0.0294799945911707,0.31502,0.0366506847683576,0.31601
"12","plotID",0.00884790660035422,0.42122,0.0105678801825698,0.44755
