"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","WD.CWM",2.13866848037733e-207,1,1.55266061445444e-191,1,6.62987228916973e-206,4.81324790480876e-190
"2","CVMDFWinter",0.00271040020396412,0.51186,0.00389779345125857,0.51633,0.0130357304430803,0.0103678909459672
"3","CVMDFAutumn",0.0069716464317504,0.44057,0.00828680380952281,0.4691,0.0154372170988759,0.0171260612063471
"4","CVMDFSummer",0.00505859872789152,0.46574,0.00213280794470029,0.63143,0.0130357304430803,0.0103678909459672
"5","CVMDFSpring",0.00393720088273931,0.48471,0.00222600468073938,0.61173,0.0130357304430803,0.0103678909459672
"6","MDFMDFAutumn",0.015627359491438,0.37278,0.0146713215594889,0.44858,0.0284969496608576,0.0277956708373846
"7","MDFMDFSpring",0.0049196190738458,0.46788,0.00266677705292901,0.60519,0.0130357304430803,0.0103678909459672
"8","M_MaxM",0.00183014050010727,0.53902,0.000206905345227347,0.76466,0.0130357304430803,0.00320703285102388
"9","C_MinM",0.00370359879162352,0.48925,0.00312197054569223,0.56758,0.0130357304430803,0.0103678909459672
"10","M_MDFM",0.0130609151407292,0.3884,0.016368843808071,0.4009,0.0253055230851629,0.0281907865583445
"11","C_MDFM",0.00285071288207127,0.50827,0.00317715437428317,0.54842,0.0130357304430803,0.0103678909459672
"12","AS20YrARI",0.00493087312744726,0.4677,0.00623245176013512,0.48752,0.0130357304430803,0.0148620003510914
"13","CVAnnBFI",0.0204489368426146,0.34878,0.0152427872334045,0.47654,0.0352176134511697,0.0277956708373846
"14","BFI",0.0094945982051416,0.41539,0.00732117603527452,0.51998,0.0196221696239593,0.0162111755066793
"15","CVAnnMRateFall",0.00398392154248779,0.48383,0.00363042564898824,0.55259,0.0130357304430803,0.0103678909459672
"16","CVAnnMRateRise",0.00546659663742076,0.45975,0.00215967608599152,0.63488,0.0130357304430803,0.0103678909459672
"17","MRateRise",0.0257220839599961,0.32775,0.0219340461526966,0.43183,0.0410564546525907,0.0357871279333471
"18","MDFAnnLSNum",0.0264880352597359,0.32503,0.0273854848487954,0.38113,0.0410564546525907,0.0424475015156329
"19","LSPeak",0.00266570096604645,0.51304,0.00378450335450556,0.51955,0.0130357304430803,0.0103678909459672
"20","HSPeak",0.00403016651082752,0.48297,0.00401337714037439,0.53953,0.0130357304430803,0.0103678909459672
