"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",4.38507667506928e-203,1,1.09919998654219e-187,1
"2","maxheight.CWM",0.014368582304033,0.38013,0.0110720689892179,0.49307
"3","SLA.CWM",0.012977381193445,0.38895,0.0113279572853668,0.47703
"4","nbsp",0.0246837650873562,0.33157,0.0299240651177953,0.34364
"5","RaoQ",0.0444605452892601,0.27568,0.051832223864891,0.2901
"6","FEve",0.0392302281929557,0.28781,0.0469164542620294,0.2956
"7","FRic",0.0358231509442456,0.29654,0.0435988852422105,0.30022
"8","FDis",0.0424084949202444,0.28027,0.0493262271882468,0.29642
"9","CVAnnHSPeak",0.0554440079590527,0.25396,0.0422309660013524,0.40999
"10","MDFMDFJanuary",0.0250889901299454,0.33006,0.0309789376017553,0.33645
"11","plotID",0.0405554823006306,0.28461,0.0467941150122547,0.30437
