"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.0246837650873562,0.33157,0.0264358404843787,0.37824
"2","maxheight.CWM",0.0364154647359802,0.29497,0.0444755459130281,0.29706
"3","SLA.CWM",0.0516817050057774,0.26091,0.0381691995649964,0.42257
"4","nbsp",4.79625734307837e-216,1,1.57116677291298e-199,1
"5","FGR",0.00150968075309825,0.55183,0.00212116559820764,0.56399
"6","FEve",0.0423851671821496,0.28033,0.0326045496517,0.42329
"7","FRic",0.000657818580911857,0.6034,0.00104694674091524,0.60689
"8","FDis",0.059331481887335,0.24722,0.0658610752744595,0.27557
"9","MDFMDFNovember",0.00723683396595977,0.43758,0.00940376502935125,0.44921
"10","MDFMDFJuly",0.0362861785050054,0.29531,0.0399922058443682,0.33175
"11","MDFMDFJanuary",0.00322861204387642,0.4993,0.0046137483749895,0.50297
