"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","flowering.period.CWM",0.0105488866991806,0.40659,0.014000028549035,0.40908,0.0199873642721317,0.0240000489412028
"2","redun",1.06895355013674e-201,1,1.98838032700934e-186,1,3.84823278049228e-200,7.15816917723362e-185
"3","FunRao",0.00109854840289248,0.57226,0.00089220419501617,0.64247,0.00494346781301614,0.00530105696577256
"4","RaoQ",5.57217228935519e-06,0.80609,1.10163601105889e-05,0.81289,6.68660674722623e-05,0.000132196321327067
"5","FDis",2.81097423829654e-06,0.8252,4.79534488988072e-06,0.83772,5.05975362893378e-05,8.6316208017853e-05
"6","CVMDFWinter",0.00014778812941988,0.68235,0.000224582168537257,0.69633,0.00133009316477892,0.00202123951683531
"7","CVMDFAutumn",0.0193931825338595,0.35356,0.0247214324793388,0.35569,0.0290897738007893,0.0355850785486541
"8","CVMDFSummer",0.0411095659862189,0.28329,0.0257003345073613,0.47515,0.0528551562679957,0.0355850785486541
"9","CVMDFSpring",0.0135851338852501,0.385,0.00837930658674568,0.53431,0.0244532409934503,0.0177444139484026
"10","MDFMDFAutumn",0.00437078636983332,0.47687,0.00174261361381807,0.64342,0.0113620285202589,0.00697045445527227
"11","MDFMDFSummer",0.0176939580692588,0.36178,0.0191677543621738,0.40623,0.0276948908910138,0.0300017024799242
"12","MDFMDFSpring",0.000808174688514332,0.59117,0.000893251347246298,0.63055,0.00415632696950228,0.00530105696577256
"13","M_MaxM",0.000703027783785108,0.59949,0.00114904133069381,0.5997,0.00415632696950228,0.00530105696577256
"14","P_MaxM",0.00932772742912097,0.41686,0.00891384914020629,0.48494,0.0195843407324489,0.0178276982804126
"15","M_MinM",0.00397898814808788,0.48392,0.0050704127202094,0.50377,0.0113620285202589,0.0130382041376813
"16","C_MinM",0.0282029207976456,0.31918,0.0347979880436917,0.32351,0.0390501980275092,0.0447402703418893
"17","P_MinM",0.00979217036622446,0.41282,0.0124125196169695,0.42619,0.0195843407324489,0.0223425353105451
"18","M_MDFM",0.000800210961277175,0.59176,0.00117801265906057,0.60223,0.00415632696950228,0.00530105696577256
"19","C_MDFM",0.0165280621886996,0.36783,0.0214232330943981,0.36849,0.0270459199451448,0.0321348496415971
"20","P_MDFM",0.00420968113318229,0.4797,0.00549533312163501,0.49533,0.0113620285202589,0.013188799491924
"21","AS20YrARI",0.00512880024551182,0.46468,0.00233662225464453,0.62258,0.0123091205892284,0.00700986676393358
"22","CVAnnBFI",0.0330691623010415,0.30417,0.0292108505063997,0.40426,0.0440922164013887,0.0389478006751996
"23","BFI",0.0218583995912166,0.34272,0.015358273806413,0.48415,0.031476095411352,0.0251317207741304
"24","CVAnnMRateFall",0.00151727823645889,0.5515,0.00226596380869156,0.55598,0.00546220165125199,0.00700986676393358
"25","CVAnnMRateRise",0.00141135456147165,0.55623,0.00217767169017873,0.55721,0.00546220165125199,0.00700986676393358
"26","LSPeak",0.00441856664676735,0.47605,0.00411119103434489,0.54276,0.0113620285202589,0.0113848367104935
"27","CVAnnHSPeak",0.00824406533313707,0.42702,0.00981183691203424,0.45445,0.0185491469995584,0.0185908488859596
"28","HSPeak",0.014409291823053,0.37988,0.00795365808512126,0.54858,0.0247016431252337,0.0177444139484026
