"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","richness",1.59494510804912e-206,1,3.00032652923084e-192,1,4.94432983495227e-205,9.3010122406156e-191
"2","flowering.period.CWM",0.00137511336567408,0.55792,0.000529270658915929,0.69475,0.0071047523893161,0.00326902863787259
"3","FunRao",0.000374150478925209,0.63521,0.000632715220233404,0.63658,0.00327565743025129,0.00326902863787259
"4","simpson",0.000287445141713272,0.64922,0.000499003400550485,0.64995,0.00327565743025129,0.00326902863787259
"5","nbsp",0.000422665474871134,0.62855,0.00035085943658514,0.68903,0.00327565743025129,0.00326902863787259
"6","RaoQ",0.0188406245968643,0.35616,0.0236601716151813,0.36284,0.0648954847225327,0.0814961466745133
"7","FEve",0.0130361663645398,0.38856,0.0171854130576554,0.3892,0.0523149370846222,0.0665934755984147
"8","FRic",0.00108266212065665,0.57318,0.000518199491882585,0.68805,0.00671250514807124,0.00326902863787259
"9","FDis",0.0297309185992899,0.31423,0.0342129966771481,0.33918,0.0921658476577987,0.106060289699159
"10","MDFMDFSummer",0.0135006289250638,0.38554,0.0120189475129722,0.47038,0.0523149370846222,0.0532267675574482
