"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","seedmass.CWM",1.7400778137262e-206,1,8.66983626340605e-191,1,6.26428012941431e-205,3.12114105482618e-189
"2","CVMDFAutumn",0.0283069788869466,0.31883,0.0339154990460664,0.33218,0.101905123993008,0.110996178696217
"3","C_MinM",0.0470762606511267,0.27009,0.0307874777771306,0.45852,0.130365029495428,0.110996178696217
"4","P_MinM",0.0366916159434433,0.29425,0.0377987228395808,0.35179,0.120081652178542,0.113396168518742
"5","CVAnnBFI",0.0431317529384915,0.27863,0.0432657250661348,0.34497,0.129395258815474,0.11981277710622
"6","BFI",0.0176600264709195,0.36195,0.0114653268293241,0.51122,0.101905123993008,0.110996178696217
"7","MRateFall",0.0256531609661663,0.328,0.0315096318289604,0.33554,0.101905123993008,0.110996178696217
"8","MRateRise",0.0189075230949163,0.35584,0.0241691005620803,0.3577,0.101905123993008,0.110996178696217
"9","CVAnnLSMeanDur",0.0148474948237629,0.37727,0.0190166091463431,0.38277,0.101905123993008,0.110996178696217
"10","CVAnnHSMeanDur",0.026731752074667,0.32418,0.0291635251606914,0.36553,0.101905123993008,0.110996178696217
"11","CVAnnHSNum",0.00178434180352134,0.54073,0.00272603111218321,0.54078,0.0321181524633842,0.0490685600192977
"12","MDFAnnHSNum",0.0201978570890181,0.34989,0.0251666554081571,0.35753,0.101905123993008,0.110996178696217
"13","HSMeanDur",0.0210407103067117,0.34619,0.0262506500492328,0.35277,0.101905123993008,0.110996178696217
