"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","basalAreaPerHa",0.00119830989635834,0.56676,0.000345951724556477,0.72055,0.0107847890672251,0.0031135655210083
"2","basalAreaPerHa.small",4.28525500131139e-206,1,2.44631781735004e-190,1,1.5426918004721e-204,8.80674414246013e-189
"3","stemsPerHa",2.48662582353109e-06,0.82843,3.75184118873884e-06,0.84474,2.98395098823731e-05,4.50220942648661e-05
"4","stemsPerHa.small",1.76517975841537e-07,0.88529,5.24527017899098e-07,0.88596,3.17732356514767e-06,9.44148632218376e-06
"5","leafratio.CWM",0.0133185265648109,0.38671,0.0175698839244456,0.38682,0.0684952794761701,0.0903594030400062
"6","RaoQ",0.040013813951194,0.28591,0.0474814856754744,0.29604,0.130954300203907,0.155393953119734
"7","FDis",0.0381495541194812,0.29051,0.0462044312923464,0.29444,0.130954300203907,0.155393953119734
"8","C_MaxM",0.003734382649414,0.48864,0.00506810020147367,0.49901,0.0268875550757808,0.0364903214506104
"9","P_MaxM",0.00477689267287488,0.47013,0.00623407744703273,0.48481,0.0286613560372493,0.0374044646821964
"10","CVAnnMRateRise",0.0299524618497154,0.31353,0.0201773324712295,0.47469,0.119809847398862,0.0907979961205329
"11","CVAnnLSNum",0.0274369167796429,0.32175,0.031084344352183,0.35217,0.119809847398862,0.124337377408732
