"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","basalAreaPerHa",0.000517856877803535,0.61719,0.000360388764716289,0.69267,0.00466071190023181,0.0032434988824466
"2","basalAreaPerHa.small",1.76517975841536e-07,0.88529,3.84391228245966e-07,0.89236,2.11821571009844e-06,4.61269473895159e-06
"3","stemsPerHa",9.40268926943127e-11,0.96382,4.96966702153851e-10,0.96403,1.69248406849763e-09,8.94540063876931e-09
"4","stemsPerHa.small",0,1,0,1,0,0
"5","leafratio.CWM",0.0170183897470781,0.36524,0.022068607294128,0.36524,0.0875231472706872,0.113495694655515
"6","flowering.period.CWM",0.0268618144158363,0.32372,0.0321523852871735,0.33821,0.107447257663345,0.128609541148694
"7","maxheight.CWM",0.0233293784806253,0.33676,0.0295132123382268,0.33742,0.104982203162814,0.128609541148694
"8","RaoQ",0.0404893272140387,0.28476,0.0464211638289901,0.30677,0.132510525427763,0.151923808894877
"9","FDis",0.0340977533584842,0.30126,0.0406019232684571,0.31332,0.122751912090543,0.146166923766445
"10","C_MaxM",0.00444078247904897,0.47567,0.00610696550040813,0.48223,0.0303872017103026,0.0417823054390768
"11","P_MaxM",0.00506453361838377,0.46565,0.00696371757317947,0.47079,0.0303872017103026,0.0417823054390768
