"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","flowering.period.CWM",0.00456526441229459,0.47358,0.00649407158646944,0.47405,0.032869903768521,0.0389644295188166
"2","maxheight.CWM",0.0106237827834208,0.40599,0.0133558864123494,0.42022,0.0424951311336833,0.0534235456493976
"3","nbsp",0.000891810879153645,0.58519,0.000992072234506801,0.62412,0.0080262979123828,0.00892865011056121
"4","RaoQ",0.00998151954499815,0.41122,0.0110414466743195,0.45215,0.0424951311336833,0.0534235456493976
"5","FRic",9.09724887334402e-231,1,2.08656233713139e-213,1,3.27500959440385e-229,7.51162441367302e-212
"6","FDis",0.00901189355129723,0.41971,0.0121274560003221,0.42155,0.0424951311336833,0.0534235456493976
"7","MDFMDFWinter",0.000841994599196114,0.58869,3.37755969397811e-05,0.8278,0.0080262979123828,0.000405307163277374
"8","MDFMDFAutumn",0.0240971598799333,0.33378,0.0243001200295294,0.39614,0.0788634323343273,0.0795276655511871
"9","MDFMDFSummer",5.36714331663655e-05,0.72708,2.78253264037069e-07,0.91672,0.000966085796994578,5.00855875266725e-06
"10","MDFMDFSpring",0.0104042724737196,0.40775,0.00358758024339254,0.62429,0.0424951311336833,0.0258305777524263
"11","CVAnnHSPeak",0.0127236008988564,0.39065,0.0158423284637483,0.40497,0.045804963235883,0.0570323824694938
