"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.00587501076335553,0.45413,0.00555926820294361,0.52046
"2","maxheight.CWM",2.90508802462788e-206,1,1.63685458955687e-190,1
"3","nbsp",0.047631593825261,0.26894,0.0552798721936424,0.28368
"4","RaoQ",0.0108366402072562,0.40432,0.0127404902625684,0.4326
"5","FEve",0.0453839485494217,0.27367,0.0514199343193658,0.29817
"6","FRic",0.000603632853467624,0.60841,0.000970418088758469,0.61146
"7","FDis",0.00939815332423437,0.41624,0.0123945553485898,0.42175
"8","CVAnnHSPeak",0.0126022297543588,0.39147,0.00492636361351425,0.60221
"9","CVAnnHSNum",0.0114129302715311,0.39994,0.0106936197707515,0.47325
"10","MDFMDFJanuary",0.0119159609019713,0.39627,0.0129812358925236,0.44005
"11","CVAnnZer",0.0591931750514458,0.24745,0.0542153190916721,0.34764
