"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","seedmass.CWM",2.0039487153315e-206,1,8.8650412087038e-191,1
"2","AS20YrARI",0.0434115748473609,0.278,0.0392802451188316,0.3763
"3","AS10YrARI",0.0410900763190376,0.28334,0.0393630187530799,0.36369
"4","PS5YrARI",0.0240838041815482,0.33383,0.026169800265472,0.3767
"5","PS2YrARI",0.0256960311666057,0.32785,0.0280487695631291,0.36922
"6","MA.90daysMaxMean",0.0492434471930744,0.26567,0.0408223356217069,0.39285
"7","MA.30daysMaxMean",0.0438857017691337,0.27694,0.040855439742533,0.36684
"8","MA.7daysMaxMean",0.0428670351464806,0.27923,0.0414555294060032,0.3571
"9","MA.3daysMaxMean",0.0350949370206351,0.29851,0.0355158497194939,0.36131
"10","FFI",0.0331667082076162,0.30389,0.0367098200117433,0.33969
"11","MRateFall",0.0168355684640121,0.3662,0.0211485708135752,0.37461
"12","MRateRise",0.0144141722503233,0.37985,0.0184527786287676,0.38593
"13","VarAnnLSMeanDur",0.0412743831687623,0.2829,0.0501293574527016,0.28393
"14","CVAnnLSMeanDur",0.0327600357637546,0.30506,0.029901874305048,0.3963
"15","CVAnnLSPeak",0.0345718631724812,0.32122,0.0386691475591769,0.35872
"16","CVAnnHSMeanDur",0.0409765512974041,0.28361,0.0470264038019015,0.30508
"17","CVAnnHSNum",0.0521437332373222,0.26003,0.0552634065825743,0.30751
