"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.0233702734173454,0.3366,0.0294744273286153,0.33812
"2","maxheight.CWM",0.00495749317523537,0.46729,0.00685832713458975,0.47161
"3","RaoQ",3.99728747114777e-12,0.97772,6.02662677353875e-14,0.99209
"4","FEve",0.00490790282064523,0.46806,0.00453352358700393,0.53662
"5","FRic",0.00554878886127437,0.45859,0.00779411521309591,0.45878
"6","FDis",5.56902479046929e-206,1,3.11338742574699e-190,1
"7","M_MinM",0.0483682439097193,0.26743,0.0580838730366347,0.26863
"8","C_MinM",0.0398449429226525,0.28631,0.0185007051098544,0.53667
"9","M_MDFM",0.0447557285639627,0.27503,0.049013463487793,0.31182
"10","CVAnnMRateFall",0.0340710767158178,0.30133,0.0419950909744105,0.30184
"11","CVAnnMRateRise",0.00884293956572929,0.42127,0.0117916680327862,0.4253
"12","LSPeak",0.0401209643564197,0.28565,0.0485093220153651,0.28901
"13","CVAnnHSPeak",0.00133326838156368,0.55992,0.00192612243913535,0.56947
"14","CVAnnHSNum",0.037428543519468,0.29234,0.045215873590009,0.29761
"15","CVMDFJune",0.0241735663526917,0.33349,0.02751635814797,0.3637
"16","CVMDFMay",0.0116965930177443,0.39785,0.0144055455457295,0.41554
"17","MDFMDFNovember",0.0101585256691321,0.40975,0.0136707769897127,0.40976
"18","MDFMDFOctober",0.0266600604286955,0.32443,0.0334445018720468,0.3248
"19","MDFMDFSeptember",0.0226856711374148,0.33933,0.0236238218995998,0.39335
"20","MDFMDFAugust",0.0497308205271499,0.2647,0.0551523275889731,0.29583
"21","MDFMDFJuly",0.0385694712490721,0.28945,0.0458418378104895,0.29977
"22","MDFMDFMay",0.0370190124238974,0.2934,0.0439815185882117,0.30466
"23","MDFMDFMarch",0.0356740500542155,0.29694,0.0332377047306469,0.38374
"24","MDFMDFFebruary",0.0415017863073355,0.28237,0.0500266850460316,0.28603
"25","MDFMDFJanuary",0.0162412258850073,0.36938,0.0208469327639509,0.37286
"26","CVAnnZer",0.0200452903451431,0.35058,0.0256680998492921,0.35084
