"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.000391171534064614,0.63279,0.000279559646870362,0.70349
"2","maxheight.CWM",0.0127632825547888,0.39038,0.0160629271887229,0.40221
"3","nbsp",0.00890184247243289,0.42072,0.0120029124298389,0.42233
"4","RaoQ",0.00752715283323876,0.43441,0.0102366015434062,0.43666
"5","FEve",7.74843646902432e-203,1,1.42210837324915e-190,1
"6","FRic",0.00259591989896929,0.51492,0.00383668038688848,0.51578
"7","FDis",0.00490790282064524,0.46806,0.00635188061893585,0.48393
"8","CVAnnHSPeak",0.048938455149023,0.26628,0.0578981884026588,0.27304
"9","MDFMDFNovember",0.0221975562818854,0.34131,0.0264139825176385,0.36018
"10","MDFMDFJuly",0.0178939703561112,0.36078,0.0119374397526245,0.50562
"11","MDFMDFMay",0.0261123614454553,0.32636,0.0293959185370197,0.35902
"12","MDFMDFJanuary",0.00718141298143032,0.4382,0.00990927928267045,0.43822
