"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","leafratio.CWM",0.0406579659392556,0.28436,0.0409566381450934,0.34911
"2","nbsp",0.0028481418773797,0.50833,0.00416537821661185,0.50978
"3","FGR",0.0124089339378329,0.3928,0.0154698942305086,0.40713
"4","RaoQ",0.00456774099391585,0.47354,0.00649925613408971,0.47395
"5","FRic",1.81746681561979e-205,1,9.51954232393425e-191,1
"6","FDis",0.00794348817742699,0.43005,0.00794103696620853,0.48925
"7","CVAnnHSPeak",0.0108384561070656,0.40431,0.0109744170963667,0.46254
"8","CVMDFMay",0.03827959315555,0.29018,0.0346036521931345,0.38656
"9","CVMDFJanuary",0.0385261497970061,0.28956,0.0447077276623556,0.30818
"10","MDFMDFNovember",0.000290155817377354,0.64873,0.000497536795132391,0.65047
"11","MDFMDFOctober",0.0120425536995639,0.39536,0.00772865361862328,0.53472
"12","MDFMDFSeptember",0.0406231543744832,0.28444,0.0231697253952007,0.49558
"13","MDFMDFJuly",0.00287023666827185,0.50778,0.00414614250921071,0.51101
"14","MDFMDFMay",0.00721474258448197,0.43782,0.00785954662643223,0.48182
"15","MDFMDFMarch",0.0328706392532941,0.30474,0.0389755882885396,0.31885
"16","MDFMDFFebruary",0.000861190975978181,0.58732,0.00108596125737205,0.61366
"17","MDFMDFJanuary",0.000106393797864495,0.69758,0.000172110024056273,0.70812
"18","CVAnnZer",0.00698898160610687,0.44037,0.00925102042181048,0.44884
