,maxheight,seedmass,SLA,woody,flowering.period,WD,,Strategy,Mode of Seed Dispersal,Reproductive Technique,,,,,
Abrophyllum ornans,0.903089987,-4.321928095,2.403334996,1,0.25,0.602,,P,A,S,,Abrophyllum ornans,vegetative,veg tech,veg ref
Acacia dealbata subsp. dealbata,1.477121255,3.648465443,2.787477335,1,0.416666667,0.476,,P,0,S,,,,,
Acacia falciformis,1,5.419538892,1.798404012,1,0.333333333,0.724,,P,0,S,,Acacia falciformis,0,NA,
Acacia floribunda,0.903089987,2.82374936,2.290512512,1,0.333333333,0.681,,P,0,S,,Acacia floribunda,1,root sucker,"N.T.Burbidge & M.Gray, Fl. Austral. Cap. Terr. 202 (1970), report A. falciformis in the A.C.T. as forming thickets by root suckers following fire or disturbance."
Acacia implexa,1.079181246,4.34553831,2.051556338,1,0.416666667,0.639,,P,0,S,,Acacia implexa,1,root sucker,"Searle, S. D., D. T. Jamieson, and N. K. Cooper. ""Growth and form of 25 temperate Acacia species in two trials near Canberra, Australia."" ACIAR PROCEEDINGS. Australian Centre for International Agricultural Research, 1998."
Acacia irrorata subsp. irrorata,1.079181246,3.510961919,2.307572635,1,0.25,0.42,,P,0,S,,Acacia irrorata,1,root suckers,"Searle, S. D., D. T. Jamieson, and N. K. Cooper. ""Growth and form of 25 temperate Acacia species in two trials near Canberra, Australia."" ACIAR PROCEEDINGS. Australian Centre for International Agricultural Research, 1998."
Acacia leiocalyx subsp. leiocalyx,0.77815125,3.420886575,2.288486169,1,0.416666667,0.569,,P,0,S,,Acacia leiocalyx subsp. leiocalyx,1,root sucker,"Searle, S. D., D. T. Jamieson, and N. K. Cooper. ""Growth and form of 25 temperate Acacia species in two trials near Canberra, Australia."" ACIAR PROCEEDINGS. Australian Centre for International Agricultural Research, 1998."
Acacia mearnsii,1,3.722466024,2.276241118,1,0.25,0.652,,P,0,S,,Acacia mearnsii,1,root sucker,http://futurebeef.com.au/topics/grazing-land-management/use-of-fire-in-grazed-woodlands/
Acacia melanoxylon,1.477121255,3.869871406,2.119863456,1,0.5,0.477,,P,A,S,,Acacia melanoxylon,1,root suckers,"Searle, S. D., D. T. Jamieson, and N. K. Cooper. ""Growth and form of 25 temperate Acacia species in two trials near Canberra, Australia."" ACIAR PROCEEDINGS. Australian Centre for International Agricultural Research, 1998."
Acacia pravissima,0.903089987,3.070389328,2.234306252,1,0.25,NA,,P,0,S,,Acacia pravissima,NA,NA,"Searle, S. D., D. T. Jamieson, and N. K. Cooper. ""Growth and form of 25 temperate Acacia species in two trials near Canberra, Australia."" ACIAR PROCEEDINGS. Australian Centre for International Agricultural Research, 1998."
Acaena novae-zelandiae,-0.522878745,0.687060688,2.87356464,0,0.25,NA,,P,A,S,,Acaena novae-zelandiae,1,stolon,"Gynn, E. G., and A. J. Richards. ""Acaena novae-zelandiae T. Kirk."" The Journal of Ecology (1985): 1055-1063."
Acmena smithii,0.698970004,6.34020618,2.465553921,1,0.333333333,0.715,,P,0,S,,Acmena smithii,1,epicormic buds,https://www.rbgsyd.nsw.gov.au/__data/assets/pdf_file/0006/92904/Riverside_Plants_2.pdf
Alphitonia excelsa,1.397940009,4.185866545,2.20386912,1,0.333333333,0.725,,P,0,S,,Alphitonia excelsa,0,,
Anagallis arvensis,-0.522878745,-1,3.112626025,0,0.25,NA,,AP,0,S,,Anagallis arvensis,0,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Anagallis_arvensis.htm,
Angophora subvelutina,1.301029996,2.859969548,2.125847914,1,0.5,0.658,,P,0,S,,Angophora subvelutina,1,coppice,http://www.anbg.gov.au/cpbr/cd-keys/euclid3/euclidsample/html/Angophora_subvelutina.htm
Astroloma humifusum,-0.301029996,5.943921327,2.350422422,1,1,0.76,,AB,W,Sp,,Astroloma humifusum,0,,
Backhousia myrtifolia,1.477121255,3.701549057,2.48240352,1,0.166666667,0.82,,P,0,S,,Backhousia myrtifolia,1,,
Bedfordia arborescens,0.698970004,-0.434402824,2.657458415,1,0.25,0.65,,P,0,S,,,,,
Beyeria viscosa,0.602059991,5.006298024,3.068517943,1,0.25,NA,,P,0,SSt,,,,,
Bidens pilosa,0,1.070389328,4.129067998,0,0.5,NA,,A,A,S,,,,,
Bidens subalternans,0.204119983,1.827819025,3.660737148,0,0.5,NA,,A,A,S,,,,,
Callistemon subulatus,0,-4.64385619,1.706564623,1,0.25,0.683,,P,0,0,,,,,
