,maxheight,seedmass,SLA,woody,flowering.period,WD,,species,leafLength.min,leafLength.max,leafWidth.min,leafWidth.max,,leafLength.mean,leafWidth.mean,length-width.ratio
Abrophyllum ornans,0.903089987,-1.301029996,1.043755127,1,0.25,0.602,,Abrophyllum ornans,10,20,3,8,,15,5.5,2.727272727
Acacia boormanii,0.602059991,1.122543524,NA,1,0.166666667,NA,,Acacia boormanii,3,9,0.1,0.3,,6,0.2,30
Acacia dealbata subsp. dealbata,1.477121255,1.098297536,1.210586025,1,0.416666667,0.476,,Acacia dealbata subsp. dealbata,1.5,5.5,0.3,1.2,,3.5,0.75,4.666666667
Acacia falciformis,1,1.631443769,0.781036939,1,0.333333333,0.724,,Acacia falciformis,8,22,1.2,4,,15,2.6,5.769230769
Acacia floribunda,0.903089987,0.850033258,0.994756945,1,0.333333333,0.681,,Acacia floribunda,5,15,0.2,1,,10,0.6,16.66666667
Acacia implexa,1.079181246,1.308137379,0.890979597,1,0.416666667,0.639,,Acacia implexa,7,18,0.6,2.5,,12.5,1.55,8.064516129
Acacia irrorata subsp. irrorata,1.079181246,1.056904851,1.002166062,1,0.25,0.42,,Acacia irrorata subsp. irrorata,1.5,5,0.4,1,,3.25,0.7,4.642857143
Acacia leiocalyx subsp. leiocalyx,0.77815125,1.029789471,0.993876915,1,0.416666667,0.569,,Acacia leiocalyx subsp. leiocalyx,7,18,0.7,3.5,,12.5,2.1,5.952380952
Acacia mearnsii,1,1.120573931,0.988558957,1,0.25,0.652,,Acacia mearnsii,1.5,6,0.3,0.7,,3.75,0.5,7.5
Acacia melanoxylon,1.477121255,1.164947373,0.920645001,1,0.5,0.477,,Acacia melanoxylon,6,14,0.7,3,,10,1.85,5.405405405
Acacia pravissima,0.903089987,0.924279286,0.970346876,1,0.25,NA,,Acacia pravissima,0.5,1.6,0.4,1.3,,1.05,0.85,1.235294118
Acaena novae-zelandiae,-0.522878745,0.206825876,1.247973266,0,0.25,NA,,Acaena novae-zelandiae,0.8,1.5,0.5,0.5,,1.15,0.5,2.3
Acmena smithii,0.698970004,1.908592239,1.070776463,1,0.333333333,0.715,,Acmena smithii,3,11,1,5,,7,3,2.333333333
Alphitonia excelsa,1.397940009,1.260071388,0.957128198,1,0.333333333,0.725,,Alphitonia excelsa,5,14,2,5,,9.5,3.5,2.714285714
Anagallis arvensis,-0.522878745,-0.301029996,1.351796307,0,0.25,NA,,Anagallis arvensis,0.5,2.5,0.5,2.5,,1.5,1.5,1
Angophora subvelutina,1.301029996,0.860936621,0.923244019,1,0.5,0.658,,Angophora subvelutina,7,10,3,5,,8.5,4,2.125
Astroloma humifusum,-0.301029996,1.789298611,1.020775488,1,1,0.76,,Astroloma humifusum,0.6,1.8,0.06,0.3,,1.2,0.18,6.666666667
