"","metric","pval.linear","r2.linear","f statistic linear","pval.quad","r2.quad","f statistic quad"
"value24","CVMDFWinter",0.0100689529075644,0.41049,9.052,0.0133250654182682,0.4143,4.244
"value23","CVMDFAutumn",0.0356944675536162,0.29689,5.489,0.042223553685955,0.31032,2.7
"value22","CVMDFSummer",0.292593497913528,0.084711,1.203,0.191926863463744,0.46835,5.286
"value21","CVMDFSpring",0.0267469546590512,0.32412,6.234,0.0323377539817114,0.33567,3.032
"value20","MDFMDFWinter",0.0890538344283613,0.20622,3.377,0.0956949514528062,0.24308,1.927
"value19","MDFMDFAutumn",0.112502483685089,0.18225,2.897,0.111346068828232,0.25957,2.103
"value18","MDFMDFSummer",0.00315333942683776,0.50101,13.05,0.00461632202121861,0.50118,6.028
"value17","MDFMDFSpring",0.0140572789640321,0.38204,8.037,0.0181288361474865,0.38672,3.783
"value16","M_MaxM",0.0272712116840073,0.32232,6.183,0.0338782052314181,0.32522,2.892
"value15","C_MaxM",0.0871705863177401,0.2084,3.422,0.0716765378675768,0.35913,3.362
"value14","M_MinM",0.0252377809190058,0.32951,6.389,0.0129709422358541,0.53451,6.89
"value13","C_MinM",0.141078343137103,0.15891,2.456,0.104209085133204,0.38296,3.724
"value12","M_MDFM",0.0219339984767737,0.3424,6.769,0.0218772414702486,0.40707,4.119
"value11","C_MDFM",0.112432373682349,0.18232,2.899,0.0849206027158383,0.37954,3.67
"value10","AS20YrARI",0.0151105005190334,0.37573,7.824,0.0197623661827735,0.37573,3.611
"value9","CVAnnMRateFall",0.0136832276557174,0.38438,8.117,0.01751425900903,0.39128,3.857
"value8","CVAnnMRateRise",0.011735134997846,0.39757,8.579,0.0155830417440977,0.39825,3.971
"value7","MRateFall",0.157902387187879,0.14728,2.245,0.130049842876996,0.33097,2.968
"value6","MRateRise",0.156784921836614,0.14801,2.258,0.110858998659656,0.4005,4.008
"value5","CVAnnHSPeak",0.00103567586635151,0.57595,17.66,0.00142389706225183,0.59258,8.727
"value4","CVAnnHSNum",0.0357892059110425,0.29663,5.483,0.0430137348851333,0.30464,2.629
"value3","MDFAnnHSNum",0.727560937287303,0.0096541,0.1267,0.714268318892127,0.1758,1.28
"value2","HSPeak",0.0666789695546051,0.23554,4.005,0.0688316819665018,0.29235,2.479
