"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","redun",2.77362382175162e-216,1,2.68355569368465e-200,1,8.59823384743001e-215,8.31902265042242e-199
"2","simpson",0.0445690177797052,0.27544,0.0446523413019932,0.34232,0.0940558984174829,0.0991075216391944
"3","RaoQ",0.00337738773845882,0.49602,0.0045257603167806,0.5092,0.0348996732974078,0.0467661899400662
"4","FDiv",0.0193136494785035,0.35393,0.0150302650167948,0.47163,0.0798153773202073,0.081760645127964
"5","FDis",0.00176123209412522,0.5416,0.00268910915492713,0.54186,0.0272990974589409,0.0416811919013706
"6","catchment",0.0259540084802738,0.32692,0.0314650484263182,0.33815,0.0798153773202073,0.0948321099982666
"7","CVMDFWinter",0.0257346141526382,0.32771,0.03206050858128,0.33093,0.0798153773202073,0.0948321099982666
"8","CVMDFAutumn",0.0267209334929445,0.32421,0.025304643599416,0.4033,0.0798153773202073,0.0948321099982666
"9","CVMDFSpring",0.017279524950261,0.36389,0.0179325649664519,0.41835,0.0798153773202073,0.081760645127964
"10","M_MaxM",0.0455109185891046,0.2734,0.0548618100521188,0.27473,0.0940558984174829,0.113381074107712
"11","M_MDFM",0.0308962750916931,0.31061,0.0361524475904078,0.32991,0.0798153773202073,0.0948321099982666
"12","AS20YrARI",0.0294915309788317,0.31499,0.0367092038702967,0.31558,0.0798153773202073,0.0948321099982666
"13","CVAnnMRateFall",0.0146364977748131,0.37852,0.0184620811579273,0.38797,0.0798153773202073,0.081760645127964
"14","CVAnnHSPeak",0.0097597074467333,0.4131,0.0103796350787681,0.46165,0.075637732712183,0.0804421718604531
"15","HSPeak",0.038178544855096,0.29043,0.044758235578991,0.3057,0.0910411454236905,0.0991075216391944
