"","species","maxheight","seedmass","SLA","woody","flowering.period","length.width.ratio","WD"
"1","Abrophyllum ornans",8,0.05,11.06,1,0.25,2.727272727,0.602
"2","Acacia boormanii",4,13.26,NA,1,0.166666667,30,NA
"3","Acacia dealbata subsp. dealbata",30,12.54,16.24,1,0.416666667,4.666666667,0.476
"4","Acacia falciformis",10,42.8,6.04,1,0.333333333,5.769230769,0.724
"5","Acacia floribunda",8,7.08,9.88,1,0.333333333,16.66666667,0.681
"6","Acacia implexa",12,20.33,7.78,1,0.416666667,8.064516129,0.639
"7","Acacia irrorata subsp. irrorata",12,11.4,10.05,1,0.25,4.642857143,0.42
"8","Acacia leiocalyx subsp. leiocalyx",6,10.71,9.86,1,0.416666667,5.952380952,0.569
"9","Acacia mearnsii",10,13.2,9.74,1,0.25,7.5,0.652
"10","Acacia melanoxylon",30,14.62,8.33,1,0.5,5.405405405,0.477
"11","Acacia pravissima",8,8.4,9.34,1,0.25,1.235294118,NA
"12","Acaena novae-zelandiae",0.3,1.61,17.7,0,0.25,2.3,NA
"13","Acmena smithii",20,81.02,11.77,1,0.333333333,2.333333333,0.715
"14","Alphitonia excelsa",25,18.2,9.06,1,0.333333333,2.714285714,0.725
"15","Anagallis arvensis",0.3,0.5,22.48,0,0.25,1,NA
"16","Angophora subvelutina",20,7.26,8.38,1,0.5,2.125,0.658
"17","Astroloma humifusum",0.5,61.56,10.49,1,1,6.666666667,0.76
"18","Backhousia myrtifolia",30,13.01,11.97,1,0.166666667,2.444444444,0.82
"19","Bedfordia arborescens",5,0.74,14.26,1,0.25,5,0.65
"20","Beyeria viscosa",4,32.14,21.51,1,0.25,3.5,NA
"21","Bidens pilosa",1,2.1,62.12,0,0.5,2.25,NA
"22","Bidens subalternans",1.6,3.55,38.89,0,0.5,16.66666667,NA
"23","Blechnum nudum",1,NA,20.83,0,NA,NA,NA
"24","Bursaria spinosa subsp. lasiophylla",5,1.48,5.8,1,0.25,4.714285714,0.65
"25","Bursaria spinosa subsp. spinosa",10,1.48,8.76,1,0.5,12.36842105,0.65
"26","Callistemon subulatus",1,0.04,5.51,1,0.25,12,0.683
